bp,sex,D1Mit296,D1Mit123,D1Mit156,D1Mit178,D1Mit19,D1Mit7,D1Mit46,D1Mit132,D1Mit334,D1Mit305,D1Mit26,D1Mit94,D1Mit218,D1Mit100,D1Mit102,D1Mit14,D1Mit105,D1Mit159,D1Mit267,D1Mit15,D1Mit456,D1Mit155,D2Mit359,D2Mit82,D2Mit241,D2Mit14,D2Mit62,D2Mit280,D2Mit229,D2Mit266,D3Mit164,D3Mit6,D3Mit11,D3Mit14,D3Mit44,D3Mit19,D4Mit149,D4Mit41,D4Mit108,D4Mit237,D4Mit286,D4Mit214,D4Mit53,D4Mit89,D4Mit111,D4Mit288,D4Mit164,D4Mit178,D4Mit80,D4Mit81,D4Mit276,D4Mit152,D4Mit302,D4Mit175,D4Mit16,D4Mit14,D5Mit193,D5Mit61,D5Mit387,D5Mit148,D5Mit13,D5Mit55,D5Mit312,D5Mit188,D5Mit213,D5Mit31,D5Mit99,D5Mit101,D5Mit409,D5Mit169,D6Mit86,D6Mit273,D6Mit188,D6Mit8,D6Mit213,D6Mit36,D6Mit135,D6Mit59,D6Mit295,D6Mit201,D6Mit15,D7Mit306,D7Mit25,D7Mit297,D7Mit30,D7Mit37,D7Mit71,D7Nds4,D8Mit3,D8Mit292,D8Mit25,D8Mit45,D8Mit271,D8Mit156,D9Mit297,D9Mit27,D9Mit8,D9Mit24,D9Mit18,D10Mit166,D10Mit214,D10Mit11,D10Mit14,D10Mit297,D11Mit74,D11Mit2,D11Mit78,D11Mit79,D11Mit80,D11Mit82,D11Mit163,D11Mit110,D11Mit136,D11Mit20,D11Mit310,D11Mit35,D11Mit67,D11Mit48,D12Mit37,D12Mit110,D12Mit34,D12Mit118,D12Mit20,D13Mit16,D13Mit59,D13Mit91,D13Mit148,D13Mit78,D14Mit48,D14Mit14,D14Mit37,D14Mit7,D14Mit266,D15Mit11,D15Mit175,D15Mit53,D15Mit111,D15Mit56,D15Mit22,D15Mit206,D15Mit152,D15Mit156,D15Mit108,D15Mit79,D16Mit32,D16Mit4,D16Mit171,D16Mit5,D16Mit70,D16Mit106,D17Mit164,D17Mit143,D17Mit57,D17Mit113,D17Mit131,D17Mit46,D17Mit45,D17Mit23,D17Mit11,D17Mit10,D17Mit53,D17Mit221,D18Mit67,D18Mit17,D18Mit50,D18Mit4,D19Mit59,D19Mit40,D19Mit53,D19Mit137,DXMit55,DXMit22,DXMit16,DXMit130
89.3,male,AA,AA,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,-,-,-,AB,-,-,AB,AB,-,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AB,-,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AB,-,AB,-,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,-,AB,AB,AB,AA,AB,-,AB,-,AB,AB,-,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,BB,BB,BB,BB
88.2,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,-,-,AA,-,AA,-,AA,-,-,AA,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,-,AB,-,AB,AB,-,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,BB,AA,AA,BB
93.3,male,AA,AA,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AA,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,-,-,AA,-,AA,AA,AB,-,-,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AA,AA,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA
84.8,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,-,AB,AB,AA,AB,AB,AB,AB,AB,AB,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,-,-,AB,-,AB,-,AB,-,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AB,AB,AA,AA,AB,-,AB,-,AB,AB,-,AB,AB,AB,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,BB,BB,BB,BB
92.1,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,-,-,AA,-,AA,-,AA,-,-,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,-,AB,AB,AB,AB,AB,-,AB,-,AB,AB,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,BB,AA,AA,AA
93.2,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,AB,AA,AA,AA,AA,-,-,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,-,-,AB,-,AB,-,AB,-,-,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,-,AB,AB,AB,AB,AA,-,AA,-,AA,AA,-,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,BB,BB,BB,BB
91,male,AB,AA,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,-,AB,-,AB,-,-,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,-,AA,AA,AA,AB,AA,-,AA,-,AA,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,BB,AA,AA,BB
88.8,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,-,-,AB,AB,AB,AA,AA,-,AA,-,-,-,-,AA,AA,AA,AB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,-,-,AB,-,AB,-,AB,-,-,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,-,AB,AB,AB,AA,AA,-,AA,-,AA,AA,-,AA,AA,AA,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,BB,BB,BB,BB
89,male,AA,AA,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,-,-,-,AB,-,-,AB,AB,AB,AA,-,-,-,-,AA,AA,AA,AB,AA,-,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,-,-,AB,-,AB,-,AB,-,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,-,AB,AB,AB,AB,AA,-,AA,AB,AB,AB,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,BB,BB,BB
92.6,male,AA,AA,AB,-,AB,AB,-,-,AB,AB,AB,AB,AB,AA,AA,AA,AA,-,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,-,-,-,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AA,-,AB,AB,AB,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,-,AA,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,-,AA,AB,AB,AB,AB,-,AB,-,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AB,BB,BB,BB,BB
92,male,AB,AB,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,-,-,-,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AB,AB,AA,-,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,-,AA,AA,AA,AA,AA,AA,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AA,-,-,AA,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AB,AB,-,AB,AB,AB,AB,AB,AA,AA,-,AA,AA,-,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,AA
84.1,male,AB,AB,AB,-,AB,AB,-,-,AB,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AA,AA,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,-,-,AB,-,AB,-,AB,-,-,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AB,-,AB,-,AB,AB,-,AB,AB,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,BB,BB,AA,AA
92.7,male,AA,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AB,AB,AA,-,AA,AA,AA,AA,AA,AA,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,-,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,-,-,AB,AB,AA,-,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AB,AB,AA,-,AA,-,AA,AA,-,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AB,BB,BB,BB,BB
88.3,male,AA,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AA,-,-,-,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AA,AA,AB,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,-,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,-,-,AA,-,AA,-,AA,-,-,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,-,AA,AA,AA,AA,AA,-,AA,-,AA,AA,-,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,BB,BB,BB,AA
85.6,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AA,AA,AA,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,-,-,AB,-,AB,-,AB,-,-,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,-,AB,-,AB,AB,-,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,BB,AA,AA,AA
86.3,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AB,-,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,-,AA,-,AA,-,-,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,-,AA,AA,AA,AA,AB,-,AB,-,AB,AB,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA
91.9,male,AB,AA,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AB,AB,-,-,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,-,-,AB,-,AB,-,AB,-,-,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,-,AA,AA,AA,AA,AA,-,AA,-,AA,AA,-,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,BB,BB,BB,BB
87.4,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AA,-,AA,AA,AA,AA,AA,AA,AA,AB,AB,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,-,AA,-,AA,-,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,-,AA,-,AA,AA,-,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,BB,BB
92.9,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,-,-,-,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AB,-,AB,-,AB,-,-,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AA,AA,AB,AB,AA,-,AA,-,AA,AA,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA
91,male,AB,AB,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,-,-,AA,-,-,AA,AA,AA,AB,-,-,-,-,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AA,AA,AA,AA,-,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,-,-,AB,-,AB,-,AB,-,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,-,AB,AB,AB,AB,AB,-,AB,-,AB,AB,-,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,BB,BB
90.2,male,AB,AB,AB,-,AB,AB,-,-,AB,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AB,AB,AB,-,AB,AB,AB,AA,AA,AB,AB,AB,AB,-,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,-,-,AA,-,AA,-,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AA,-,AA,-,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA
90.3,male,AB,AB,AB,-,AB,AB,-,-,AB,AB,AB,AB,-,AB,AB,AA,AA,-,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,-,-,-,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,-,-,AA,-,AA,-,AA,-,-,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AB,AB,AB,AB,-,AB,-,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB
88.5,male,AA,AA,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,-,-,-,AB,-,-,AB,AB,AB,AA,-,-,-,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,-,-,AB,-,AB,-,AB,-,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AA,AA,AA,AA,-,AA,-,AA,AA,-,AA,AA,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,BB
91,male,AB,AB,AA,-,AA,AA,-,-,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,-,-,-,AA,-,-,AA,AA,-,AA,-,-,-,-,AA,AA,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,-,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,-,-,AA,-,AA,-,AA,-,-,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AA,AA,AA,AA,AB,-,AB,-,AB,AB,-,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA
88.4,male,AB,AB,AB,-,AB,AB,-,-,AB,AA,AA,AA,-,AA,AA,AA,AA,-,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,-,-,-,AB,-,-,AB,AB,-,AB,-,-,-,-,AB,AB,AA,AA,AA,-,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,-,-,AB,-,AB,-,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,-,AB,AB,AB,AB,AB,-,AB,-,AB,AB,-,AB,AA,AA,AA,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AB,BB,AA,AA,AA
